codigo,nombre,precio,categoria
"AD0120D","Dije acero letra M 11mm x und","1100","Dijes"
"AD0131D","Dije acero letra T 9x11mm x und","800","Dijes"
"AD0121D","Dije en acero letra K 11x9mm x und","800","Dijes"
"AD0117D","Dije en acero letra A 11x9mm x unid","800","Dijes"
"RD0291D","Dije covergold estrella nacar 18x12mm / x unidad / REF-RD0291D","6000","Dijes cover gold"
"AD0181D","Dije acero nacar luna+ojo turco 12x7mm x und","4800","Dijes"
"ZD0298D","Dije zamak alas gemelas 18x30mm x unid","1800","Dijes"
"AM0091BI","Medalla acero grabada V milagrosa 27X17mm x und","5800","Dijes"
"AM0121N","Medalla acero grabada virgen milagrosa 18X16mm x und","3000","Dijes"
"Ref-AM0122D","Medalla acero grabada Guadalupe 21x13 mm x und","3000","Dijes"
"AM0125D","Medalla acero grabada virgen milagrosa 16x14 mm x und","4100","Dijes"
"AM0125N","Medalla acero grabada Virgen Milagrosa 16X14mm x und","3500","Dijes"
"3600BL","DIJE AZABACHE MANO 15MM / color blanco / paquete por 12 unidades / 3600BL / REF-3600BL","3500","Dijes"
"3600NN","Dije azabache mano 15mm negro x 12und","3500","Dijes"
"3600RB","Dije azabache mano roja 15mm x 12und","4500","Dijes"
"AD0186D","Dije acero corazón infinito 16x21 mm x und","2500","Amor y relaciones"
"AD0183D","Dije en acero latido corazón 16x21mm x und","2500","Amor y relaciones"
"AD0205D","Dije en acero letra E 4x8mm x und","4000","Dijes"
"AD0209D","Dije en acero letra R 5x8mm x und","4000","Dijes"
"AD0211D","Dije en acero letra T 5x8mm x und","4000","Dijes"
"RD0323D","Dije covergold estrella nacar 11x13MM / x unidad / REF-RD0323D","4500","Dijes cover gold"
"5885D-azulrey","Dije zamak mano fortuna resina azul rey x unid","1200","Dijes"
"5885D-rojo","Dije en zamak mano fortuna resina roja x unid","1200","Dijes"
"5885D-negro","Dije en zamak mano fortuna resina negra x und","1200","Dijes"
"AC2130D","Cruz acero san benito fundida 22x38mm x und","4200","Dijes"
"16041N","Dije en zamak ala 9x30mm x6 unidades","2100","Dijes"
"7445-1D","Escapulario cuero 54x46mm x 2 und","4000","Dijes"
"ZD0294D","Dije zamak planeta saturno X3 und","1300","Dijes"
"7445D","Escapulario cuero redondo 28 x 32 mm color dorado / x par / Ref-7445D","2880","Dijes"
"ZD0338Dverde","Dije zamak corazon pintado verde 20x26mm x und","2300","Amor y relaciones"
"ZD0348D","Dije zamak ojo turco 7 puntos resina blanco verde M 18x20.5mm x und","3000","Dijes"
"DA008","Dije acrílico paletas multicolor 15x7mm paquete x10 unidades","2500","Dijes"
"ZD0343Dverde","Dije zamak luna verde 15x29mm x und","3500","Dijes de zamak"
"ZD0343Dnaranja","Dije zamak luna 15x29mm x und","3500","Dijes de zamak"
"ZD0345Dverde","Dije zamak corazón 26x29mm x und","3400","Amor y relaciones"
"AM0151D","Medalla en acero grabada San Benito 18x21mm x und","5500","Dijes"
"AMO151N","Medalla em acero san benito 18X21mm x und","5100","Dijes"
"AM0089BI","Medalla en acero V milagrosa 13x21mm x und","5000","Dijes"
"RD0364D","Dije rodinado circulo luna – estrella x unid","7000","Dijes rodinados"
"AD0256D","Dije acero corazón liso 9x10mm x par","2600","Amor y relaciones"
"AD0257D","Dije acero hoja 8x10mm x und","1300","Dijes"
"AD0258D","Dije en acero Sol 9x10mm x und","1300","Dijes"
"5555D","Dije zamak corona princess 17x18mm x3 unds","4200","Dijes"
"AM0152D","Medalla acero virgen guadalupe 9x14 mm x und","3800","Dijes"
"AM0152N","Medalla acero virgen de Guadalupe 9X14mm x und","3700","Dijes"
"AM0156D","Medalla acero san benito 15X18mm x und","5000","Dijes"
"ZD0369D","Dije zamak carita feliz ojo estrella 12x15mm x3 unidades","3600","Dijes"
"AC2128D","Dije cruz acero cristo+san benito 26 x40mm x und","6300","Dijes"
"ZD0236D","Dije zamak circular azul infinito corazón 16mm x und","2500","Amor y relaciones"
"ZC2012D","Cruz zamak San Benito 37x22mm x unidad","2400","Dijes"
"ZD0385N","Dije zamak estrella de mar 20x23mm x6 und","3900","Colecciones Pelgy"
"AC2150D","Dije cruz acero virgen Guadalupe grabada 28x52mm x und","4500","Dijes"
"AC2107D","Dije cruz acero virgen milagrosa grabada 29x53mm x und","5000","Dijes"
"AC2107N","Dije cruz acero V milagrosa grabada 29x53mm x und","5000","Dijes"
"AC2109D","Dije cruz acero señor de los milagros 29x52mm x und","4500","Dijes"
"AC2157D","Dije cruz acero cristo relieve 22x40mm x und","4000","Dijes"
"ZD0386N","Dije zamak caracol caubri 6x13mm paquete x12 und","1000","Dijes"
"ZD0319D","Dije zamak hoja 14x16mm x3 unidades","2700","Dijes"
"RD0403D","Dije rodinado llave con circón plateados x und","4700","Dijes"
"6018D","Dije zamak mano hamsa 15x25mm x3 unidades","3900","Dijes"
"AM0134N","Medalla acero virgen milagrosa 14x20mm x und","2300","Dijes"
"AM0091D","medalla acero grabada Milagrosa 17x27 mm x und","5700","Dijes"
"AM0165D","Medalla acero grabada San Benito 12x15mm x unidad","3800","Dijes"
"7401N","Medalla zamak san benito 12x15mm x12 und","1200","Dijes"
"ZD0293D","Dije zamak ala mini 5x13 x 3und","3000","Dijes"
"AM0165N","Medalla acero san benito 12x15mm x unidad","3500","Dijes"
"AC2163N","Dije cruz acero señor de los milagros 28x50mm x und","5000","Dijes"
"AM0156N","Medalla acero san benito 15x18mm x unidad","4000","Dijes"
"ZM0011D","Medalla zamak San benito inflado 12x14mm x3 und","4500","Dijes"
"ZD0395D","Dije zamak estrella fugaz paquete x3 unidades","3900","Dijes"
"7445-2D","Escapulario cuero redondo dorado 35x42mm x 2und","3060","Dijes"
"AC2130N","Dije cruz acero san benito fundida 22x38mm x und","3700","Dijes"
"AM0040N","Medalla acero San Benito fundido 12x15mm x und","2500","Dijes"
"AM0041N","Medalla acero San Benito fundida 14x17mm x unidad","2600","Dijes"
"AM0054D","Medalla acero san benito 10mm x und","3500","Dijes"
"6426N","Cruz zamak rostro cristo 26x42mm x und","1700","Dijes"
"ZD0406N","Dije zamak sol 25x38mm paquete x12 und","3600","Dijes"
"ZC2012N","Cruz zamak San Benito 22x37mm x12 und","5000","Dijes"
"4181MX","DIJE ACRILICO CACHITO MIXTO 15MM / paquete x 20 grm / REF-4181MX","2500","Dijes"
"2553B1","PRECIOSA ROMBON 6MM COLORS CRYSTAL / paquete x 12 und / REF-2553B1","5500","Dijes Preciosa"
"AM0166D","Medalla acero virgen milagrosa 22 x 36mm xund","6500","Dijes"
"ZD0399D","Dije zamak luna corazón 14x18mm x unidad","1500","Amor y relaciones"
"16025D","Dije zamak timón ancla 23x27mm x und","1600","Dijes"
"ZC2053N","Cruz zamak san benito 22x37mm x6 unidades","2500","Dijes"
"ZD0423D","Dije zamak signo zodiacal piscis 26x29mm x und","3700","Dijes"
"ZD0431D","Dije zamak signo zodiacal escorpión 26x29mm x und","3700","Dijes"
"ZD0422D","Dije zamak signo zodiacal acuario 26x29mmx und","3700","Dijes"
"ZD0426D","Dije zamak signo zodiacal géminis 25.5x28mm x und","3700","Dijes"
"ZD0427D","Dije zamak signo zodiacal cancer 26x29mm x und","3700","Dijes"
"ZD0432D","Dije zamak signo zodiacal sagitario 25x28mm x und","3700","Dijes"
"ZD0429D","Dije zamak signo zodiacal virgo 25.5x28mm x und","3700","Dijes"
"ZD0438D","Dije zamak circulo resina rojo turco, infinito estrella 20x23mm x und","3000","Dijes"
"ZD0439D","Dije zamak circulo resina blanco infinito+ ojo turco 20x23mm x und","3000","Dijes"
"ZD0408N","Dije zamak sol maya 16x20mm x 12und","2000","Dijes de zamak"
"ZD0412D","Dije zamak signo zodiacal cáncer 21x24.5mm x und","1500","Dijes"
"ZD0413D","Dije zamak signo zodiacal géminis 21x24.5mm x und","1500","Dijes"
"ZD0418D","Dije zamak signo zodiacal tauro 21x24.5mm x und","1500","Dijes"
"ZD0419D","Dije zamak signo zodiacal virgo 21x24.5mm x und","1500","Dijes"
"8062N","Dije zamak diamante 17x19mm x12 unidades","1200","Dijes"
"AS0205D","Separador acero avión liso 15x19mm x und","4800","Separadores"
"AM0177D","Medalla acero virgen de guadalupe pintada 10x12mm x und","4500","Dijes"
"AM0172N","Medalla Ovalada Acero Misericordioso 8x15mm x Und","2600","Dijes"
"AM0171N","Medalla en Acero V Milagrosa Pinatada 8x15mm x und","2600","Dijes"
"ZD0414D","Dije zamak signo zodiacal escorpio 21x24.5mm x par","3000","Dijes"
"RD0455D","Dije rodinado estrella x unid","4500","Dijes rodinados"
"RD0463D","Dije rodinado mano hamsa circón multicolor x unid","5000","Dijes rodinados"
"RD0464D","Dije rodinado ojo circón x und","5000","Dijes rodinados"
"RD0447D","Dije rodinado corazón infinito x unid","4000","Amor y relaciones"
"RD0456D","Dije rodinado llave con circón x unid","4000","Dijes rodinados"
"RD0466D","Dije rodinado corazón flecha x unid","4500","Amor y relaciones"
"RD0468D","Dije ojo rodinado","4125","Nuevas colecciones"
"RD0444D","Dije rodinado silueta corazón x unid","8000","Amor y relaciones"
"4181NN","Dije acrílico cachito negro 15mm paquete x20 gramos","2500","Dijes"
"4183NN","Dije acrílico mano imitación azabache negra 15mm paquete x20 gramos","2500","Dijes"
"6034N","Dije zamak hoja 11x39mm x6 und","3000","Dijes"
"6066N","Dije zamak trebol corazón 19x22mm x6 unidades","2400","Amor y relaciones"
"6107N","Dije zamak hoja 8x25mm paquete x12 und","3600","Dijes"
"6328N","Dije zamak mariquita 24x27mm x6 unidades","3000","Dijes"
"15396N","Dije zamak corazon 13x21mm x6 und","3000","Amor y relaciones"
"15044N","Dije zamak mariquita 10x16mm paquete x12 und","3600","Dijes"
"ZD0029D","Dije zamak media luna invertida 15x18mm x und","1400","Dijes"
"ZD0456N","Dije zamak mariposa 15x20mm x6 unidades","3000","Dijes"
"ZD0457N","Dije zamak mariposa 10x12mm x6 unidades","2400","Dijes"
"ZD0471D","Dije zamak ojo15x18mm x und","3000","Dijes"
"ZD0472D","Dije zamak planeta saturno 11x13mm x3 unidades","3600","Dijes"
"6017D","Dije zamak corazon bruno 17x17mm x3 unidades","3600","Amor y relaciones"
"7421-1D","Medalla zamak san benito 18 mm x und","1500","Dijes"
"15917D","Dije zamak trébol 10x13mm paquete x3 und","3900","Dijes"
"ZD0480N","Dije zamak silueta de corazón 21x12mm x12 unidades","2600","Amor y relaciones"
"ZC4114N","Crucero zamak virgen de fátima 15x22mm x 6und","3500","Dijes"
"ZD0134N","Dije zamak triangulo hueco 9.5x29mm x12 unds","2700","Dijes"
"ZD0442N","Dije zamak estrella 5 puntas 15x21mm x12 unidades","3000","Dijes"
"ZD0443N","Dije zamak estrella de david 6 puntas 14.5x21mm x12 unds","3600","Dijes"
"ZD0446D","Dije zamak sol 6 puntas 18X24MM / x unidad / Ref-ZD0446D / Ref-ZD0446D","1400","Dijes de zamak"
"ZD0448D","Dije zamak sol 15x19m paquete x3 unidades","4200","Dijes"
"ZD0450N","Dije zamak circulo montaña 11x14mm x12 und","1400","Dijes"
"AD0284D","Dije Acero Ciclista 5x18mm x und","3000","Dijes"
"ZD0485N","Dije zamak arcoíris para resinar 15x19mm x12 und","3200","Dijes"
"ZD0487N","Dije zamak estrella 4 puntos 14x17mm x12 unds","1200","Dijes"
"ZD0490N","Dije zamak ojo destello 18X15mm paquete x12 und","3600","Dijes"
"ZD0491N","Dije zamak ojo pestaña 12x15mm x12 unds","1800","Dijes"
"ZD0492N","Dije zamak luna estrella sol 17x14mm paquete x6 und","1800","Dijes"
"ZD0493N","Dije zamak ojo dos estrellas 15x19mm x6 unds","2150","Dijes"
"ZM0101N","Medalla zamak paloma espíritu santo 17x21mm paquete x12 unidades","4000","Dijes"
"AC2175D","Dije cruz acero laberinto 19x29mm x und","6000","Dijes"
"AC2176N","Dije cruz acero relieve cristo 19x35mm x und","4700","Dijes"
"AM0183D","Medalla acero Guadalupe grabada 22x14 mm x unidad","5500","Dijes"
"AM0184D","Medalla Acero V de guadalupe 18x28mm x und","6200","Dijes"
"AM0185D","Medalla Acero Milagrosa 16x26mm x und","4500","Dijes"
"AM187N","Medalla Acero Sagrado Corazón 9x18mm x Und","4000","Dijes"
"AM0188D","Medalla Acero Milagrosa 44x48mm x Und","9500","Dijes"
"AM0189D","Medalla Acero Virgen de Guadalupe 44x48mm x und","9500","Dijes"
"AM0175N","Medalla Acero Grabada V de Guadalupe 8x13mm x Und","3000","Dijes"
"AC2182D","Dije cruz Acero cristo relieve 27x41mm x Und","5500","Dijes"
"AC2182N","Dije cruz acero relieve cristo 27x41mm x und","4600","Dijes"
"ZD0504D","Dije zamak guía solar 25mm x 2 und","3000","Dijes"
"ZD0505D","Dije zamak lusina 15x17mm x3 und","3900","Dijes"
"AC4139N","Crucero Acero Divino Niño 10x15mm x Und","1400","Dijes"
"6104D","Dije zamak hoja 14x20mm x und","1400","Dijes"
"ZD0459D","Dije zamak libélula 11x20mm x3 unds","3000","Dijes"
"15396D","Dije zamak corazon paquete x 3 unidades","3000","Amor y relaciones"
"6010D","Dije zamak corazón silueta trébol 22x23mm x unid","1800","Dijes"
"ZD0448N","Dije zamak sol 15x19mm paquete x12 und","1600","Dijes"
"6044D","Dije zamak mariposa 21x29mm x par","3600","Dijes"
"ZD0456D","Dije zamak mariposa 15x20mm x3 und","5100","Dijes"
"6349N","Dije zamak silueta mariposa 16x25mm x6 und","2650","Dijes"
"6067N","Dije zamak silueta corazón 20x24mm x6 und","2400","Amor y relaciones"
"AM0180D","Medalla de Acero Cristo 12x14mm x und","3700","Dijes"
"RD0480D","Dije rodinado trébol x und","5700","Dijes rodinados"
"RD0485D","Dije rodinado estrella fugaz x und","5400","Dijes rodinados"
"ZD0551D","Dije zamak ojo turco Egipto resina blanca & azul 17x20mm x und","2300","Dijes"
"AM0066N","Medalla Acero Ovalada Grabada V Milagrosa 11x19mm x und","4000","Dijes"
"AM0068D","Medalla en Acero Grabada V Guadalupe 10x18mm x Und","4500","Dijes"
"AM0068N","Medalla en Acero Grabada V Guadalupe 10x18mm x Und","4000","Dijes"
"ZC2021N","Cruz zamak san benito cristo relieve 50x27mm x par","2800","Dijes"
"ZC2030N","Cruz zamak San Benito 21x38mm x6 unds","4100","Dijes"
"AD0288D","Dije de Acero Árbol de la vida 10x12mm x und","1300","Dijes"
"ZD0564N","Dije zamak margarita 12x4.5 mm paquete x12 unidades","2000","Dijes"
"RD0515D","Dije rodinado hoja circón verde x und","7200","Dijes rodinados"
"3601NN","DIJE AZABACHE VIDRIO CACHO NEGRO 15MM / PAQUETE x 12 UND / Ref-3601NN","3000","Dijes"
"AC4130D","Crucero Acero Sagrada Familia 12x21mm x Und","3700","Dijes"
"7220N","Cruz zamak san Benito 21x37mm x 12unds","3800","Dijes"
"AC4154D","Crucero Acero San Benito 13x20mm x und","3500","Dijes"
"AC4155D","Crucero Acero Rostro Virgen 18x20mm x Und","3500","Dijes"
"AC4157D","Cruce Acero Rostro Virgen13x20mm x Und","3500","Dijes"
"AD0295D","Dije Acero Silueta Rama 15x18mm x und","3000","Dijes"
"AD0296D","Dije Acero Silueta Trébol Corazones 16mm x und","3000","Dijes"
"AC2193D","Cruz lisa 20x29mm x unid","4500","Dijes"
"AC2185D","Dije Cruz Acero 13x23mm x Und","4000","Dijes"
"ZM0117N","Medalla zamak ovalada san miguel arcángel + ángel guardián 16x25 mm x 6 und","2500","Dijes"
"AM0089N","Medalla acero virgen milagrosa grabada 13X21mm","4500","Dijes"
"AM0192D","Medalla acero virgen milagrosa 9x14mm x unidad","3800","Dijes"
"ZD0479D","Dije zamak mano Hamnsa estrella 12x21mm x3 unds","3000","Dijes"
"ZD0488D","Dije zamak sol circulo 16x20mm x3 und","4200","Dijes"
"ZD0490D","Dije zamak ojo destello 15x18mm x2 unids","3000","Dijes"
"ZD0493D","Dije zamak ojo dos estrellas 15x19mm x 2unids","3000","Dijes"
"ZD0824N","Dije zamak silueta estrella puntos 14x17mm x12 und","2300","Dijes"
"ZD0830N","Dije zamak flor símbolo 14.5x18mm x12 unds","2400","Dijes"
"ZD0562D","Dije zamak alas corazón 11x11mm x und","1300","Dijes"
"ZD0565D","Dije zamak cactus-flor 14x20mm x und","1600","Dijes"
"ZM0116D","Medalla zamak ovalada guadalupe 10x17mm x 2 und","3000","Dijes"
"ZD0836N","Dije zamak silueta media luna 19x20mm x12 unds","1200","Dijes"
"RD011C89","Dije resina flor verde 12x21mm x und","4000","Dije de resina"
"5458D","Dije zamak esqueleto pez 7x17mm x6 und","3600","Dijes"
"15923D","Dije en zamak ancla 10x13mm x6 unidades","3450","Dijes"
"ZC0096D","Centro pulsera zamak pluma 7x29mm x3 und","2700","Dijes"
"ZD0489D","Dije zamak luna estrella 11x12mm paquete x3 unds","3300","Dijes"
"ZD0561D","Dije zamak dulce 10x17mm x2 und","2400","Dijes"
"ZD0705D","Dije zamak silueta luna estrella 15.5x19mm x unid","1600","Dijes"
"ZD0559N","Dije zamak torre Eiffel 20mm x 12unds","2200","Dijes de zamak"
"RD0594D","Dije covergold circon negro 7 x 9 mm color dorado / x und / REF-RD0594D","4200","Dijes cover gold"
"RD0595D","Dije covergold circon rojo 7 x 9 mm color dorado / x und / REF-RD0595D","4200","Dijes cover gold"
"AD0140D","Dije acero letra V x unid","800","Dijes de acero"
"AD0132D","Dije acero letra «U» x unid","800","Dijes de acero"
"ZD0820D","Dije zamak hueso 7x16.5mm x3 unidades","3600","Dijes"
"ZD0832D","Dije zamak girasol 15x18mm x3 unidades","3900","Dijes"
"ZD0825D","Dije zamak cuadrado estrella 10x13mm x3 unidades","3900","Dijes"
"AC0043D","Centro pulsera acero corazón infinito x unid","4000","Dijes de acero"
"ZD0836D","Dije zamak media luna 19x20mm x3 unidades","3900","Dijes"
"ZD0827D","Dije zamak planeta estrella luna 12x13mm x3 unidades","3600","Dijes"
"0387C83","Dije vidrio berenjena 9x22mm","700","Dijes de vidrio"
"ZD0859N","Dije zamak corazón cardio 20x21mm x12 unidades","3000","Dijes"
"ZD0860N","Dije zamak corazón love puntos 13x16mm x12 unidades","2000","Dijes"
"RD0634D","Dije rodinado corazón mini circón plateado","4000","Amor y relaciones"
"AM0197D","Medalla acero San Miguel Arcángel + Milagroso de Buga grabado 13x21 mm","4200","Medallas |"
"ZD0865D","Dije zamak circulo hoja 22x26mm x und","3000","Dijes"
"ZD0866D","Dije zamak circulo rana 22x26mm x unid","3000","Dijes"
"ZD0868D","Dije zamak mono araña 17x28.5mm x unidad","2160","Bases para aretes y collares"
"AD0124D","Dije acero letra B 7x11 mm x unidad","800","Dijes de acero"
"ZM0116N","Medalla zamak ovalada Guadalupe 10x17mm x12 unidades","1800","Medallas |"
"ZD0704D","Dije Zamak cactus 10x19mm x2 unidades","3000","Dijes de zamak"
"RD0636D","Dije rodinado corazón circón plateado","5500","Amor y relaciones"
"RD0631D","Dije rodinado cola ballena circón plateado","5000","Colecciones Pelgy"
"ZD0857N","Dije zamak estrella silueta 5 puntas 26x29mm x12 und","3600","Dijes"
"ZD0859D","Dije zamak corazon cardio 20x21mm x und","1800","Amor y relaciones"
"ZD0862D","Dije zamak corazon infinito 14x15mm x paquete 2 unds","2800","Amor y relaciones"
"ZC0277D","Centro pulsera zamak timón flor 6 puntas 18x26 mm","1600","Dijes"
"ZD0880","Dije zamak pintado gato azul claro 10x18.5mm x und","2000","Dijes"
"ZD0883","Dije zamak gato rosado 10x18.5mm x und","2000","Dijes"
"ZD0857D","Dije zamak estrella silueta 5 puntas 26x29mm x unid","1800","Dijes"
"ZD0858D","Dije zamak corazon silueta grueso 19x21mm x und","1500","Amor y relaciones"
"ZD0861D","Dije zamak redondo estrella punto cardinal 19x21mm x unidad","1440","Dijes"
"ZD0885N","Dije zamak ballena 8.5x10mm x12 unidades","3000","Dijes"
"ZD0858N","Dije zamak corazon silueta 19x21mm paquete x12 unds","2400","Amor y relaciones"
"ZD0702D","Dije zamak estrella 4 puntos 14x17mm x 2 unds","2600","Dijes"
"AD0137D","Dije acero letra Y x unid","800","Dijes de acero"
"RD0651D","Dije rodinado paloma circón plateado","6500","Dijes rodinados"
"RD0654D","Dije rodinado colibrí circón verde","5200","Dijes rodinados"
"RM0002D","Medalla covergold virgen de Guadalupe 3x9mm / x unidad / RM0002D","4500","Medallas |"
"RD0664D","Dije rodinado mariposa 15.5x18mm x und","4000","Dijes rodinados"
"RD0665D","Dije rodinado mariposa circón plateado","4800","Dijes rodinados"
"RD0666D","Dije rodinado doble mariposa circón plateado","4800","Dijes rodinados"
"RD0670D","Dije rodinado avión de papel + corazón","5500","Dijes rodinados"
"RD0671D","Dije covergold luna circón fucsia 9.5 x 14 mm / x unidad / Ref-RD0671D / Ref-RD0671D","3600","Nuevas colecciones"
"RD0673D","Dije rodinado corazón ondas circón plateado","5500","Amor y relaciones"
"RD0682D","Dije rodinado silueta corazón circón plateado","5000","Amor y relaciones"
"RD0686D","Dije covergold huella 10x13mm x und","4000","Dijes"
"RD0689D","Dije rodinado infinito circón plateado","4000","Dijes rodinados"
"RD0692D","Dije rodinado circulo ojo verde circón plateado","6500","Dijes rodinados"
"RD0693D","Dije rodinado ojo negro circón plateado","4800","Dijes rodinados"
"ZD0886N","Dije zamak cola de sirena mini 10x10.5mm paquete x12 unidades","1000","Dijes"
"AC4093D","Crucero acero redondo san benito fundido x unid","4000","Dijes"
"AM0198N","Medalla acero san miguel+milagrosa de buga grabada 9x14 mm x unidad","3700","Medallas |"
"AD0304N","Dije acero huella niquelado x unid","2300","Dijes de acero"
"RC0523D","Centro pulsera corazón circón","5000","Dijes rodinados"
"ZD0896D","Dije zamak corazón blanco 11x12.5 mm x und","2800","Amor y relaciones"
"ZD0893D","Dije zamak corazón resina roja 11x12.5mm x und","2800","Amor y relaciones"
"RD0725D","Dije covergold circulo salmon corazon verde 14x16.5mm x und","1350","Amor y relaciones"
"RD0723D","Dije cover gold san benito colores 19.5x23mm","3500","Dijes cover gold"
"RD0722D","Dije covergold corazón amanecer 19x20.5mm x und","2500","Dijes cover gold"
"RD0714D","Dije covergold espíritu santo blanco 18 x 18.5 mm x und","2500","Dijes cover gold"
"RD0720D","Dije covergold san jose tadeo colores 10 x 23 mm / x und / Ref-RD0720D","2100","Nuevas colecciones"
"RD0712D","Dije covergold angel de la guarda azul y blanco 17 x 21 mm / x und / Ref-RD0712D / Ref-RD0712D","2500","Dijes cover gold"
"AM0198D","Medalla acero grabado san miguel arcángel y Milagroso de buga 9x14mm unidad","3800","Medallas |"
"AC4060D","Crucero acero dorado grabado san benito x unid","5000","Dijes"
"AC4077N","Crucero acero niquelado san benito grabado x unid","3500","Dijes"
"AM0200D","Medalla acero virgen milagrosa grabada x unid","4100","Medallas |"
"RD018C15","Dije resina ala ángel 14 x 45mm x unid","4000","Dije de resina"
"RD019-25","Dije resina sagrado corazon vitral verde con fucsia 29.5x31mm x unidad","6000","Amor y relaciones"
"AC4077D","Crucero acero san benito grabado x unid","4000","Dijes"
"ZD0899D","Dije Zamak listón coquette 13x18mm paquete x 3 unds","4500","Dijes"
"ZD0899N","Dije zamak listón coquette 13x18mm paquete x 3 unds","3600","Dijes"
"ZD0901N","Dije zamak corazón ojo rayas 15x16mm x 12und","2400","Amor y relaciones"
"ZD0902N","Dije zamak corazon flecha love 12x14 mm paquete x12 unidades","1500","Dijes"
"AC4035D","Crucero acero virgen del carmen x unid","3700","Dijes"
"AD0127D","Dije acero letra G x unid","800","Dijes de acero"
"AD0134D","Dije acero letra N x unid","800","Dijes de acero"
"AD0126D","Dije acero letra F x unid","800","Dijes de acero"
"ZD0905N","Dije Zamak sol 13x17.5mm x 12unds","2100","Dijes de zamak"
"RD0749D","Dije covergold corazón mom circón rojo","7500","Amor y relaciones"
"RD0750D","Dije covergold circulo corazon mom 19x22mm x unidad","7700","Amor y relaciones"
"5555N","Dije zamak corona Princesa 17x18mm paquete x12 unidades","2000","Dijes"
"ZM0152N","Medalla zamak San Benito 6x9mm x 12unds","1000","Medallas |"
"ZD0172N","Dije zamak trebol silueta 13x17mm x 12unds","1350","Dijes de zamak"
"RD028C50","Dije resina Letra I naranja y turquesa 6.5x16mm x unid","3000","Dije de resina"
"RD035C16","Dije en resina Letra O fucsia y verde 18x26mm x unid","3000","Dije de resina"
"RD037C16","Dije en resina Letra N fucsia y verde 16x26mm x unid","3000","Dije de resina"
"RD040C91","Dije en resina Letra B amarillo y morado 15x26mm x unid","3000","Dije de resina"
"RD039C91","Dije en resina Letra P amarillo y morado 15x26mm x unid","3000","Dije de resina"
"RD031C15","Dije resina Letra S blanco y negro 15x26mm x unid","3000","Dije de resina"
"RD038-3","Dije resina Letra E dorado vitro fusión verde y azul 14x26mm x unid","3000","Dije de resina"
"RD038-2","Dije resina Letra T dorado contorno vitro verde y azul 16x26mm x unid","3000","Dije de resina"
"RD038-1","Dije en resina Letra G dorado contorno vitro verde, azul 14x26mm x unid","3000","Dije de resina"
"RD0794D","Dije rodinado san judas","5500","Dijes rodinados"
"RD0776N","Dije covergold corazon inflado 25 x 25 mm / x unidad / Ref-RD0776N","6000","Amor y relaciones"
"RD048C85","Dije resina buda blanco borde café 18x29mm x unid","4500","Dije de resina"
"RD051C5","Dije resina corazón alargado rojo 25x51mm x und","6000","Amor y relaciones"
"RD051C50","Dije resina Corazón alargado verde menta 25x51mm x und","6000","Amor y relaciones"
